,account,externalSymbol,datetime,signed_quantity,maker,trade,maker_ratio
64,1265MMDIKQ6M2QH,FYGH21,2021-03-15 13:30:00,-21,18,34,0.5294117647058824
65,1265MMDIKQ6M2QH,FYGH21,2021-03-15 14:00:00,-8,23,47,0.48936170212765956
66,1265MMDIKQ6M2QH,FYGH21,2021-03-15 14:30:00,-3,18,30,0.6
67,1265MMDIKQ6M2QH,FYGH21,2021-03-15 15:00:00,17,13,27,0.48148148148148145
68,1265MMDIKQ6M2QH,FYGH21,2021-03-15 15:30:00,-2,17,32,0.53125
69,1265MMDIKQ6M2QH,FYGH21,2021-03-15 16:00:00,-7,3,5,0.6
70,1265MMDIKQ6M2QH,TYGH21,2021-03-15 06:00:00,-2,10,15,0.6666666666666666
71,1265MMDIKQ6M2QH,TYGH21,2021-03-15 06:30:00,2,24,47,0.5106382978723404
72,1265MMDIKQ6M2QH,TYGH21,2021-03-15 07:00:00,10,22,48,0.4583333333333333
73,1265MMDIKQ6M2QH,TYGH21,2021-03-15 07:30:00,2,32,70,0.45714285714285713
74,1265MMDIKQ6M2QH,TYGH21,2021-03-15 08:00:00,5,61,131,0.46564885496183206
75,1265MMDIKQ6M2QH,TYGH21,2021-03-15 08:30:00,27,100,185,0.5405405405405406
76,1265MMDIKQ6M2QH,TYGH21,2021-03-15 09:00:00,35,98,203,0.4827586206896552
77,1265MMDIKQ6M2QH,TYGH21,2021-03-15 09:30:00,-18,99,203,0.4876847290640394
78,1265MMDIKQ6M2QH,TYGH21,2021-03-15 10:00:00,3,96,195,0.49230769230769234
79,1265MMDIKQ6M2QH,TYGH21,2021-03-15 10:30:00,39,89,197,0.4517766497461929
80,1265MMDIKQ6M2QH,TYGH21,2021-03-15 11:00:00,-13,78,152,0.5131578947368421
81,1265MMDIKQ6M2QH,TYGH21,2021-03-15 11:30:00,-5,66,151,0.4370860927152318
82,1265MMDIKQ6M2QH,TYGH21,2021-03-15 12:00:00,50,58,125,0.464
83,1265MMDIKQ6M2QH,TYGH21,2021-03-15 12:30:00,-54,60,111,0.5405405405405406
84,1265MMDIKQ6M2QH,TYGH21,2021-03-15 13:00:00,55,115,228,0.5043859649122807
85,1265MMDIKQ6M2QH,TYGH21,2021-03-15 13:30:00,-1,83,157,0.5286624203821656
86,1265MMDIKQ6M2QH,TYGH21,2021-03-15 14:00:00,-12,93,182,0.510989010989011
