,account,num_trades,quantity,StdInventory,NetPosition,Unnamed: 0,ask_share,bid_share,BBO_share,both_share,mmlabel,hftlabel
686,0906DDINIARE,1.0,1.0,0.7438997994326029,1.0,,,,,,0,0
687,0906HRJRH,1.25,2.5,0.7661394370655445,1.0,,,,,,0,0
688,0906U2KTWCDDJZ,3.125,6.875,0.650025484099303,0.8497835497835498,410.0,0.0,0.0001736111111111,0.0001736111111111,0.0,0,0
689,0906ZPS1H6JXFWL,3.0,70.5,0.2752725400350702,1.0,,,,,,0,0
690,0909B,16.0,73.0,0.166037763574182,0.1780821917808219,411.0,0.0080729166666666,0.0076388888888888,0.0157118055555555,0.0,0,0
691,0909LDBX1NMKW3U,8.375,266.3125,0.401323518973679,0.4765312288639979,,,,,,0,0
692,090A03JSJO,1.5,3.0,0.4680369145557977,0.6,,,,,,0,0
693,090BQU1FCAD,1.0,2.0,0.9541738631895288,1.0,412.0,4.340277777777778e-05,4.340277777777778e-05,8.680555555555556e-05,0.0,0,0
694,090BS3MVJY598D,138.0,567.0,0.010921633490221,0.0458553791887125,413.0,0.0169270833333333,0.0196180555555555,0.0365451388888888,0.0,0,0
695,090BWM,96.83333333333333,420.25,0.18707400721155834,0.29926413467751156,414.0,0.0037574404761904,0.0043278769841269,0.0080853174603174,0.0,0,0
696,090EIQ7MF,1.4285714285714286,2.4285714285714284,0.6778277970139325,0.9047619047619048,415.0,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0,0,0
697,090FM,1.0,2.0,0.0,0.0,416.0,0.0002604166666666,0.0002604166666666,0.0005208333333333,0.0,0,0
698,090FYO3SQQU,1.0,2.0,0.8096717311878501,1.0,,,,,,0,0
699,090G84,8.03125,15.46875,0.5659306624296825,0.5908256298451137,417.0,0.0019865117521367,0.0019998664529914,0.0039863782051282,0.0,0,0
700,090G8NHDM9FTDK,1.6666666666666667,2.6666666666666665,0.4860653209820614,0.5555555555555555,,,,,,0,0
701,090G93,22.0,37.0,0.0310419655622429,0.027027027027027,,,,,,0,0
702,090GYK,12.0,17.666666666666668,0.1847838397082943,0.31286549707602335,418.0,0.0052372685185185,0.0049479166666666,0.0101851851851851,0.0,0,0
703,090H5F5EY7I7,5.357142857142857,21.685714285714287,0.41286564860133657,0.5196749746093251,419.0,0.0001844618055555,0.0001519097222222,0.0003363715277777,0.0,0,0
704,090HFLH0J2JR7,14.961538461538462,34.96153846153846,0.27771321420022554,0.30707548908359855,420.0,0.0003274936868686,0.0003866792929292,0.0007141729797979,0.0,0,0
705,090IK,7.0,97.0,0.5594738649269124,0.5670103092783505,,,,,,0,0
706,090JIHD29,1.0909090909090908,1.7272727272727273,0.6759692611421535,0.9393939393939394,,,,,,0,0
707,090JULPQF,245.0,738.9545454545455,0.2220449625904487,0.2735170048833276,421.0,0.0301809210526315,0.0304733187134502,0.0606542397660818,0.0,0,0
708,090KCYU8JA129,7.0,18.5,0.4878108108817584,0.5151515151515151,,,,,,0,0
709,090PRGKT01,7.5,12.25,0.8183506398736704,0.8333333333333334,422.0,0.0001736111111111,0.0,0.0001736111111111,0.0,0,0
710,090RABQGK2AF,174.63076923076923,458.3538461538462,0.14996336828425788,0.1848409489985232,423.0,0.0356608072916666,0.0359176070601851,0.0715784143518518,0.0,0,0
711,090RWFKYZB,17.0,110.0,0.0536898415290378,0.1272727272727272,,,,,,0,0
712,090SE38KQF4,54.0,212.0,0.0230281089768529,0.0094339622641509,424.0,0.0038194444444444,0.0039930555555555,0.0078125,0.0,0,0
713,090SMEYDK,2.0,13.0,0.7431277184778867,1.0,,,,,,0,0
714,090UFWYF,6.857142857142857,289.42857142857144,0.6827280571922226,0.7696378814202205,,,,,,0,0
715,090V8,49.0,732.5,0.2714982562810605,0.29881396994632897,425.0,0.0041666666666666,0.0051215277777777,0.0092881944444444,0.0,0,0
716,090VU5Q,172.0,266.0,0.0281604338827424,0.0150375939849624,426.0,0.06796875,0.0628472222222222,0.1308159722222222,0.0,0,0
717,090WF4SPHH8C6,8.666666666666666,104.33333333333333,0.42002847536915255,0.5586702605570529,,,,,,0,0
718,090X3KD8ZA0OIOW,7.0,11.6875,0.43325910991898403,0.5520909796725014,427.0,0.0009949252136752,0.0009615384615384,0.0019564636752136,0.0,0,0
719,090XK,1.0,1.0,0.5499947143128389,1.0,428.0,0.0002821180555555,0.0002604166666666,0.0005425347222222,0.0,0,0
720,112P8RLLIC,1254.275590551181,2955.0,0.10501634510856096,0.12456741421911384,429.0,0.4056378517316017,0.4062601461038961,0.514225965007215,0.2976720328282828,0,0
721,1180D19AUVAZE9,11.0,15.833333333333334,0.035971762897061284,0.09696969696969697,430.0,0.0029166666666666,0.0028125,0.0057291666666666,0.0,0,0
722,1180IJ7CW8RB265,189.0,276.0,0.025627751529237,0.036231884057971,431.0,0.0138020833333333,0.0159722222222222,0.0297743055555555,0.0,0,0
723,1180IKCU,1.0,1.25,0.7217660181208184,1.0,,,,,,0,0
724,1180IRY5B,8.88,13.44,0.5921520925170873,0.6242610644257703,432.0,0.0018183479532163,0.0016401681286549,0.0034585160818713,0.0,0,0
725,1180JJ7NS,3.0,5.0,0.8207062018305862,0.8571428571428571,,,,,,0,0
726,1180KJYI25C,96.5,175.55555555555554,0.19128013803961552,0.27196196267987727,433.0,0.0038814484126984,0.0040674603174603,0.0077008928571428,0.0002480158730158,0,0
727,1180ODC4GQM,56.96969696969697,131.93939393939394,0.1975113372788973,0.2456072500371471,434.0,0.00859375,0.0084375,0.01703125,0.0,0,0
728,1180R,40.0,58.44444444444444,0.13917948617909434,0.2500693143947727,435.0,0.0060040509259259,0.0069155092592592,0.0129195601851851,0.0,0,0
729,1180UMFWJC,1.0,2.0,0.9820431383614244,1.0,,,,,,0,0
730,11812MP5DQPWRNA,37.73684210526316,113.42105263157895,0.43028067419700894,0.6062348567138894,436.0,0.0024160879629629,0.0029658564814814,0.0053819444444444,0.0,0,0
731,1181AIIODD,26.6,97.6,0.23785586421983154,0.28457148138259636,437.0,0.0017013888888888,0.0016145833333333,0.0033159722222222,0.0,0,0
732,1181CL9DIW0,28.0,70.0,0.1910041341291704,0.4,,,,,,0,0
733,1181E,1.3846153846153846,2.5384615384615383,0.822300694141452,0.8717948717948718,,,,,,0,0
734,1181OIF,2.75,6.625,0.5085434632414113,0.6923611111111111,438.0,0.0001953125,0.0003472222222222,0.0005425347222222,0.0,0,0
735,1181QD1D8MTC,7.0,10.0,0.1155528815179236,0.2,,,,,,0,0
736,1181R5I5XOZC,11.227272727272727,23.954545454545453,0.15909678111452116,0.1713413680982629,439.0,0.0011827256944444,0.0009874131944444,0.0021701388888888,0.0,0,0
737,1181U,40.83098591549296,63.816901408450704,0.30045576407442,0.41711029490621515,440.0,0.0104293699186991,0.0103976117886178,0.0203993055555555,0.0004276761517615,0,0
738,1181XVKF,33.57142857142857,115.85714285714286,0.12496961965634892,0.18545943690757594,441.0,0.0004340277777777,0.0003298611111111,0.0007638888888888,0.0,0,0
739,1181YUXAMFJSZZ,20.0,29.0,0.0914345886926105,0.3448275862068966,442.0,0.0071180555555555,0.0079861111111111,0.0151041666666666,0.0,0,0
740,1181ZCJY,3.0,4.0,0.4174027176512398,0.5,443.0,0.0001736111111111,0.0,0.0001736111111111,0.0,0,0
741,118275T2MHQKRQE,23.5,56.5,0.06343309873307786,0.08087774294670841,,,,,,0,0
742,11827I,1.0,1.0,0.9820431383614244,1.0,,,,,,0,0
743,11827YTAX88U1,1.0,1.5,0.7575409308712098,1.0,444.0,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0,0,0
744,1182IMKRBWG,7.0,14.0,0.3336807081141325,0.4285714285714285,445.0,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0,0,0
745,1182KN7,2.4,6.4,0.5057045840451553,0.7157894736842105,446.0,0.0002604166666666,0.0002604166666666,0.0005208333333333,0.0,0,0
746,1182Q9LR5QWZ7,7.0,11.0,0.630596979834855,0.6363636363636364,447.0,0.0002604166666666,0.0004340277777777,0.0006944444444444,0.0,0,0
747,1182T7KBM2TK,2.0,4.0,0.0,0.0,448.0,0.0001736111111111,0.0001736111111111,0.0003472222222222,0.0,0,0
748,1182WX3BY02,2.7777777777777777,4.666666666666667,0.35079358977913383,0.7777777777777778,449.0,0.0003472222222222,0.0003472222222222,0.0006944444444444,0.0,0,0
749,1182Z,1.25,4.583333333333333,0.8715010091264034,0.912962962962963,450.0,0.0003472222222222,0.0003645833333333,0.0007118055555555,0.0,0,0
750,11831YYV307QA2C,32.791666666666664,50.333333333333336,0.21749864005071273,0.25200168922781824,451.0,0.0010546875,0.0010286458333333,0.0020746527777777,8.680555555555556e-06,0,0
751,11834KTK4,15.6,25.8,0.1814414490480078,0.2394957983193277,452.0,0.0023726851851851,0.0026331018518518,0.005005787037037,0.0,0,0
752,118376KFPPL1,1.0,1.3333333333333333,0.9820431383614244,1.0,,,,,,0,0
