,Product,Date,account,inv_halflife_min
442,STF,2021-04-04,554DBL6,104.96443650737112
443,STF,2021-04-05,042WY7UCV,498.0924989748927
444,STF,2021-04-05,12660HNF4CILP1,199.04965185502934
445,STF,2021-04-05,1268,688.4361089477795
446,STF,2021-04-05,126WID,526.8073566731848
447,STF,2021-04-05,126ZAQ39VIIU,194.7279684129422
448,STF,2021-04-05,554DBL6,134.85937129148135
449,STF,2021-04-06,042WY7UCV,57.307732654752876
450,STF,2021-04-06,1265MMDIKQ6M2QH,131.33540547560392
451,STF,2021-04-06,12660HNF4CILP1,281.8531551095115
452,STF,2021-04-06,1268,305.90847919190026
453,STF,2021-04-06,126WID,224.2065711583026
454,STF,2021-04-06,126ZAQ39VIIU,166.1580081663016
455,STF,2021-04-06,554DBL6,681.1633659370111
456,STF,2021-04-07,042WY7UCV,714.6385027313332
457,STF,2021-04-07,12660HNF4CILP1,108.7748611059647
458,STF,2021-04-07,1268,256.4989600947896
459,STF,2021-04-07,126WID,107.1640302859591
460,STF,2021-04-07,126ZAQ39VIIU,535.6061393236032
461,STF,2021-04-07,554DBL6,134.72619198520817
462,STF,2021-04-08,042WY7UCV,422.07257852146364
463,STF,2021-04-08,12660HNF4CILP1,111.12284985743439
464,STF,2021-04-08,1268,165.22671461779868
465,STF,2021-04-08,126WID,1547.1465362270576
466,STF,2021-04-08,126ZAQ39VIIU,370.63656143103
467,STF,2021-04-08,554DBL6,117.22393871696222
468,STF,2021-04-09,042WY7UCV,152.62777714826782
469,STF,2021-04-09,12660HNF4CILP1,1310.8285598154614
